SL No,Route No,Route Description,Distance (km),Base Fare (2.12/km),Toll (70% Load),Total Fare (BDT),Collectable Fare  (BDT)
1,107,"Barishal-Khulna via Madaripur, Faridpur, Jhenaidah, Jashore",308,832.52,10.36,842.88,840
2,108,"Pirojpur-Benapole via Bagerhat, Khulna, Jashore",151,408.15,16.6,424.75,425
3,109,"Barishal-Jashore via Jhalokathi, Pirojpur, Bagerhat, Khulna",164,443.29,10.36,453.65,455
4,110,"Barishal-Benapole via Jhalokathi, Pirojpur, Bagerhat, Khulna, Jashore",203,548.71,23.57,572.28,570
5,111,"Barishal-Kushtia via Faridpur, Magura, Jhenaidah",252,681.16,10.36,691.52,690
6,112,"Khulna-Rajshahi via Jashore, Jhenaidah, Kushtia, Lalon Shah Bridge, Natore",273,737.92,7.68,745.6,745
7,113,"Khulna-Bogura via Jashore, Jhenaidah, Kushtia, Lalon Shah Bridge, Natore",295,797.39,8.75,806.14,805
8,114,"Khulna-Rangpur via Jashore, Jhenaidah, Kushtia, Lalon Shah Bridge, Natore, Bogura",406,1097.42,8.75,1106.17,1105
9,115,"Patuakhali-Khulna via Barishal, Madaripur, Faridpur, Magura, Jashore",316,854.15,30.71,884.86,885
10,116,"Barishal-Meherpur via Madaripur, Faridpur, Rajbari, Kushtia",276,746.03,10.36,756.39,755
11,117,"Faridpur-Benapole via Magura, Arpara, Jashore",132,356.8,3.21,360.01,360
12,118,"Cumilla-Sylhet via Brahmanbaria, Moulvibazar",258,697.37,4.82,702.19,700
13,119,"Chattogram-Benapole via Feni, Cumilla, Dhaka, Paturia, Jashore",497,1343.39,109.28,1452.67,1450
14,120,"Khulna-Pabna via Jashore, Jhenaidah, Kushtia, Lalon Shah Bridge",207,559.52,7.68,567.2,565
15,121,"Pirojpur-Rajshahi via Barishal, Faridpur, Kushtia, Lalon Shah Bridge",348,940.64,25.0,965.64,965
16,122,"Khulna-Chapainawabganj via Jashore, Jhenaidah, Kushtia, Lalon Shah Bridge, Rajshahi",318,859.55,7.68,867.23,865
17,123,"Rajshahi-Jashore via Lalon Shah Bridge, Kushtia, Jhenaidah",213,575.74,7.68,583.42,580
18,124,"Sirajganj-Meherpur via Pabna, Lalon Shah Bridge, Kushtia",221,597.36,7.68,605.04,605
19,125,"Kushtia-Bogura via Lalon Shah Bridge, Natore",144,389.23,8.75,397.98,400
20,126,"Cumilla-Mymensingh via Brahmanbaria, Bhairab, Kishoreganj",239,646.02,9.28,655.3,655
21,127,"Cox's Bazar-Benapole via Chattogram, Dhaka, Paturia, Jashore",645,1743.44,114.82,1858.26,1855
22,128,"Mymensingh-Rajshahi via Jamuna Bridge, Natore",239,646.02,37.5,683.52,685
